Entity,Code,Day,05-09,10-14,15-17,18-24 ,25-49,50-59,60-69,70-79,80+,people_vaccinated_per_hundred
Austria,AUT,9/24/2021,0.02,14.72,45.37,58.83,63.56,74,82.12,83.73,93.25,88.28
Austria,AUT,10-01-2021,0.02,15.65,46.95,59.8,64.2,74.4,82.41,83.93,93.48,88.65
Austria,AUT,10-08-2021,0.04,16.61,48.58,60.8,64.9,74.83,82.73,84.21,93.8,88.9
Austria,AUT,10/15/2021,0.07,17.46,50.14,61.76,65.58,75.27,83.04,84.47,94.09,89.05
Austria,AUT,10/22/2021,0.11,18.49,51.68,62.7,66.29,75.72,83.35,84.72,94.37,89.23
Austria,AUT,10/29/2021,0.14,19.1,52.73,63.62,66.96,76.14,83.61,84.91,94.59,89.37
Austria,AUT,11-05-2021,0.21,19.83,53.86,64.6,67.72,76.66,83.94,85.15,94.87,89.51
Austria,AUT,11-12-2021,0.29,20.55,55.08,66.04,68.84,77.48,84.48,85.55,95.25,89.61
Austria,AUT,11/19/2021,0.35,21.35,56.49,67.85,70.31,78.55,85.17,86.07,95.72,89.74
Austria,AUT,11/26/2021,0.45,22.26,58.08,69.82,71.93,79.7,85.85,86.56,96.17,89.94
Austria,AUT,12-03-2021,0.68,23.74,60.74,72.34,73.92,81.06,86.67,87.11,96.65,90.15
Austria,AUT,12-10-2021,1.35,25.82,63.75,74.95,75.95,82.36,87.53,87.64,97.12,90.42
Austria,AUT,12/17/2021,4.16,29.15,66.11,77.27,77.77,83.61,88.48,88.32,97.78,90.66
Austria,AUT,12/24/2021,6.86,31.77,67.25,78.57,78.71,84.23,88.98,88.69,98.18,91.74
Austria,AUT,12/31/2021,9.56,34.15,68.22,79.78,79.6,84.82,89.42,88.96,98.47,91.88
Austria,AUT,01-07-2022,12.84,36.84,69.5,81.26,80.62,85.43,89.93,89.35,98.94,92.02
Austria,AUT,1/14/2022,15.39,38.81,70.55,82.31,81.46,85.99,90.51,89.86,99.65,94.16
Austria,AUT,1/21/2022,16.62,39.97,71.33,83,81.99,86.35,90.83,90.14,100.05,94.38
Austria,AUT,1/28/2022,17.68,40.98,72.04,83.62,82.43,86.63,91.05,90.33,100.35,94.54
Austria,AUT,02-04-2022,18.75,41.89,72.69,84.24,82.84,86.89,91.27,90.51,100.65,94.65
Austria,AUT,02-11-2022,19.53,42.58,73.17,84.71,83.14,87.07,91.44,90.66,100.89,94.99
Austria,AUT,2/18/2022,20.11,43.04,73.46,84.98,83.33,87.21,91.57,90.78,101.07,95.06
Austria,AUT,2/25/2022,20.48,43.36,73.63,85.17,83.47,87.3,91.67,90.86,101.2,95.13
Austria,AUT,03-04-2022,20.75,43.57,73.76,85.3,83.57,87.37,91.74,90.92,101.3,95.19
Austria,AUT,03-11-2022,21.02,43.74,73.85,85.4,83.64,87.43,91.79,90.97,101.36,95.21
Austria,AUT,3/18/2022,21.2,43.86,73.92,85.47,83.69,87.46,91.83,91,101.4,95.24
Austria,AUT,3/25/2022,21.31,43.95,73.99,85.54,83.75,87.51,91.87,91.03,101.43,95.27
Austria,AUT,04-01-2022,21.39,44.03,74.04,85.6,83.8,87.55,91.91,91.06,101.46,95.3
Austria,AUT,04-08-2022,21.44,44.08,74.1,85.65,83.83,87.58,91.93,91.08,101.48,95.33
Austria,AUT,4/15/2022,21.48,44.13,74.15,85.69,83.86,87.6,91.95,91.09,101.49,95.35
Austria,AUT,4/22/2022,21.53,44.19,74.21,85.73,83.89,87.63,91.96,91.11,101.51,95.36
Austria,AUT,4/29/2022,21.57,44.24,74.26,85.78,83.93,87.67,91.99,91.12,101.52,95.39
Austria,AUT,05-06-2022,21.59,44.29,74.32,85.82,83.97,87.7,92.01,91.14,101.54,95.42
Austria,AUT,5/13/2022,21.62,44.33,74.38,85.87,84,87.74,92.03,91.15,101.55,95.44
Austria,AUT,5/20/2022,21.65,44.38,74.42,85.9,84.03,87.76,92.05,91.16,101.56,95.44
Austria,AUT,5/27/2022,21.67,44.42,74.45,85.93,84.04,87.77,92.06,91.17,101.57,0.35
Austria,AUT,06-03-2022,21.7,44.47,74.48,85.96,84.06,87.79,92.07,91.18,101.58,1.29
Austria,AUT,06-10-2022,21.73,44.52,74.52,85.98,84.08,87.8,92.08,91.19,101.59,2.33
Austria,AUT,6/17/2022,21.76,44.57,74.55,86,84.09,87.8,92.09,91.19,101.6,2.68
Austria,AUT,6/24/2022,21.79,44.63,74.58,86.03,84.1,87.82,92.09,91.2,101.6,2.88
Austria,AUT,07-01-2022,21.83,44.69,74.61,86.05,84.12,87.83,92.1,91.2,101.61,3.2
Austria,AUT,07-08-2022,21.86,44.75,74.63,86.07,84.13,87.84,92.11,91.21,101.62,3.91
Austria,AUT,7/15/2022,21.86,44.75,74.63,86.07,84.13,87.84,92.11,91.21,101.62,5.09
Belgium,BEL,01-08-2021,,,,0,0,0,0,0,0,6.8
Belgium,BEL,1/15/2021,,,,0,0,0,0,0,0,9.33
Belgium,BEL,1/22/2021,,,,0,0,0.01,0.01,0.01,0.07,11.45
Belgium,BEL,1/29/2021,,,,0.03,0.11,0.16,0.17,0.33,2.25,13.17
Belgium,BEL,02-05-2021,,,,0.18,0.5,0.72,0.71,1.38,10.41,14.77
Belgium,BEL,02-12-2021,,,,0.78,1.48,1.89,1.64,2.37,15.14,17.17
Belgium,BEL,2/19/2021,,,,1.25,2.26,2.75,2.25,2.79,16.48,20.24
Belgium,BEL,2/26/2021,,,,1.45,2.69,3.23,2.61,3.01,17.2,23.49
Belgium,BEL,03-05-2021,,,,1.6,3.1,3.71,2.94,3.15,17.53,26.71
Belgium,BEL,03-12-2021,,,,1.91,3.72,4.41,3.43,3.33,17.73,30.43
Belgium,BEL,3/19/2021,,,,2.3,4.45,5.3,3.99,3.51,17.89,33.99
Belgium,BEL,3/26/2021,,,,2.73,5.15,6.21,4.77,4.02,18.98,38.02
Belgium,BEL,04-02-2021,,,,3.13,5.68,7.02,5.95,4.91,20.09,40.86
Belgium,BEL,04-09-2021,,,,3.35,6.02,7.45,6.59,6.21,22.68,44.31
Belgium,BEL,4/16/2021,,,,3.51,6.26,7.76,7.17,8.09,30.61,47.6
Belgium,BEL,4/23/2021,,,,3.63,6.43,7.94,7.49,9,31.38,50.42
Belgium,BEL,4/30/2021,,,,3.82,6.71,8.37,8.45,12.62,34.87,52.77
Belgium,BEL,05-07-2021,,,,4.11,7.19,9.25,10.48,19.44,55.29,54.99
Belgium,BEL,5/14/2021,,,,4.45,7.74,10.19,12.85,36.92,63.98,56.66
Belgium,BEL,5/21/2021,,,,5.36,9.26,12.71,18.81,49.53,66.39,57.89
Belgium,BEL,5/28/2021,,,,6.39,11.28,17.4,28.28,61.69,68.07,58.9
Belgium,BEL,06-04-2021,,,,7.37,13.55,22.67,43.17,64.74,70.65,59.52
Belgium,BEL,06-11-2021,,,,8.4,16.38,30.95,58.92,69.14,82.23,60.15
Belgium,BEL,6/18/2021,,,,9.41,20.19,37.28,63.96,72.44,90.03,60.57
Belgium,BEL,6/25/2021,,,,12.4,23.56,43.12,66.45,74.95,94.12,61.07
Belgium,BEL,07-02-2021,,,,14.65,27.1,47.18,70.14,79.45,96.04,61.6
Belgium,BEL,07-09-2021,,,,17.4,33.67,57.59,79.86,92.78,97.23,62.14
Belgium,BEL,7/16/2021,,,,21.16,41.17,72.22,84.74,95.73,97.81,62.74
Belgium,BEL,7/23/2021,,,,28.36,54.06,77.14,88.19,96.58,98.26,63.38
Belgium,BEL,7/30/2021,,,,39.97,65.08,80.27,91.41,97.21,98.67,64
Belgium,BEL,08-06-2021,,,,51.08,72.27,82.81,92.42,97.67,98.96,64.48
Belgium,BEL,8/13/2021,,,,60.12,74.88,87.28,93.3,97.99,99.18,64.87
Belgium,BEL,8/20/2021,,,,66.4,76.01,87.83,93.56,98.17,99.32,65.19
Belgium,BEL,8/27/2021,,,,69.45,76.91,88.29,93.81,98.36,99.46,65.6
Belgium,BEL,09-03-2021,,,,70.94,77.65,88.63,93.99,98.48,99.55,66.19
Belgium,BEL,09-10-2021,,,,71.94,78.22,88.86,94.11,98.57,99.61,67.06
Belgium,BEL,9/17/2021,,,,72.88,78.78,89.08,94.22,98.65,99.66,68.58
Belgium,BEL,9/24/2021,,,,73.85,79.32,89.28,94.33,98.72,99.72,69.84
Belgium,BEL,10-01-2021,,,,74.78,79.83,89.47,94.42,98.79,99.77,70.81
Belgium,BEL,10-08-2021,,,,75.43,80.18,89.61,94.5,98.85,99.85,71.66
Belgium,BEL,10/15/2021,,,,76.17,80.56,89.76,94.59,98.91,99.94,72.37
Belgium,BEL,10/22/2021,,,,76.77,80.9,89.9,94.68,98.98,100.03,73.13
Belgium,BEL,10/29/2021,,,,77.41,81.27,90.04,94.77,99.04,100.1,73.49
Belgium,BEL,11-05-2021,,,,77.9,81.55,90.16,94.85,99.09,100.15,73.75
Belgium,BEL,11-12-2021,,,,78.39,81.84,90.28,94.92,99.14,100.2,74.08
Belgium,BEL,11/19/2021,,,,78.95,82.17,90.41,95,99.2,100.27,74.45
Belgium,BEL,11/26/2021,,,,79.44,82.48,90.52,95.08,99.25,100.33,74.76
Belgium,BEL,12-03-2021,,,,79.87,82.74,90.62,95.14,99.3,100.39,74.97
Belgium,BEL,12-10-2021,,,,80.29,83.02,90.73,95.21,99.36,100.45,75.1
Belgium,BEL,12/17/2021,,,,80.69,83.3,90.85,95.28,99.42,100.52,75.2
Belgium,BEL,12/24/2021,,,,80.97,83.49,90.92,95.33,99.46,100.57,75.26
Belgium,BEL,12/31/2021,,,,81.08,83.57,90.96,95.35,99.48,100.59,75.3
Belgium,BEL,01-07-2022,,,,81.34,83.76,91.04,95.41,99.53,100.64,75.34
Belgium,BEL,1/14/2022,,,,81.56,83.91,91.1,95.45,99.56,100.69,75.37
Belgium,BEL,1/21/2022,,,,81.7,84,91.14,95.48,99.59,100.71,75.39
Belgium,BEL,1/28/2022,,,,81.85,84.1,91.18,95.51,99.61,100.74,75.41
Belgium,BEL,02-04-2022,,,,82.01,84.2,91.22,95.54,99.63,100.76,75.43
Belgium,BEL,02-11-2022,,,,82.15,84.29,91.26,95.57,99.65,100.78,75.44
Belgium,BEL,2/18/2022,,,,82.26,84.36,91.28,95.59,99.67,100.79,75.45
Belgium,BEL,2/25/2022,,,,82.36,84.42,91.31,95.6,99.68,100.81,75.46
Belgium,BEL,03-04-2022,,,,82.42,84.46,91.32,95.61,99.69,100.82,75.47
Belgium,BEL,03-11-2022,,,,82.46,84.48,91.33,95.62,99.7,100.83,75.48
Belgium,BEL,3/18/2022,,,,82.49,84.5,91.34,95.62,99.7,100.83,75.49
Belgium,BEL,3/25/2022,,,,82.51,84.52,91.35,95.63,99.71,100.84,75.49
Belgium,BEL,04-01-2022,,,,82.52,84.53,91.35,95.63,99.71,100.84,0
Belgium,BEL,04-08-2022,,,,82.53,84.53,91.35,95.63,99.71,100.84,0
Belgium,BEL,4/15/2022,,,,82.54,84.54,91.36,95.64,99.71,100.84,0.01
Belgium,BEL,4/22/2022,,,,82.55,84.55,91.36,95.64,99.72,100.85,0.01
Belgium,BEL,4/29/2022,,,,82.56,84.55,91.36,95.64,99.72,100.85,0.01
Belgium,BEL,05-06-2022,,,,82.56,84.56,91.37,95.64,99.72,100.85,0.01
Belgium,BEL,5/13/2022,,,,82.57,84.57,91.37,95.65,99.72,100.85,0.01
Belgium,BEL,5/20/2022,,,,82.58,84.57,91.37,95.65,99.72,100.85,0.01
Belgium,BEL,5/27/2022,,,,82.58,84.58,91.37,95.65,99.73,100.85,0.02
Belgium,BEL,06-03-2022,,,,82.59,84.59,91.37,95.65,99.73,100.86,0.06
Belgium,BEL,06-10-2022,,,,82.6,84.59,91.38,95.65,99.73,100.87,0.13
Belgium,BEL,6/17/2022,,,,82.61,84.59,91.38,95.66,99.73,100.87,0.21
Belgium,BEL,6/24/2022,,,,82.61,84.6,91.38,95.66,99.73,100.88,0.24
Belgium,BEL,07-01-2022,,,,82.62,84.6,91.38,95.66,99.73,100.88,0.25
Belgium,BEL,07-08-2022,,,,82.62,84.61,91.38,95.66,99.74,100.88,0.3
Bulgaria,BGR,06-11-2021,,,,4.11,8.98,14.37,18.61,19,12.14,0.43
Bulgaria,BGR,6/18/2021,,,,4.63,9.73,15.35,20.02,20.64,13.33,0.62
Bulgaria,BGR,6/25/2021,,,,5.1,10.33,16.11,21.08,21.82,14.21,0.82
Bulgaria,BGR,07-02-2021,,,,5.55,10.89,16.84,22.03,22.91,14.98,1.03
Bulgaria,BGR,07-09-2021,,,,5.99,11.42,17.5,22.83,23.75,15.6,1.07
Bulgaria,BGR,7/16/2021,,,,6.4,11.95,18.15,23.58,24.54,16.12,1.1
Bulgaria,BGR,7/23/2021,,,,6.83,12.47,18.76,24.25,25.22,16.58,1.2
Bulgaria,BGR,7/30/2021,,,,7.32,13.04,19.44,24.96,25.9,17.07,1.36
Bulgaria,BGR,08-06-2021,,,,7.81,13.65,20.13,25.65,26.54,17.49,1.55
Bulgaria,BGR,8/13/2021,,,,8.33,14.28,20.84,26.28,27.14,17.88,1.81
Bulgaria,BGR,8/20/2021,,,,8.91,15,21.62,27,27.76,18.29,2.07
Bulgaria,BGR,8/27/2021,,,,9.59,15.79,22.44,27.77,28.41,18.72,2.14
Bulgaria,BGR,09-03-2021,,,,10.28,16.59,23.27,28.48,29.03,19.15,2.16
Bulgaria,BGR,09-10-2021,,,,10.91,17.26,23.96,29.11,29.59,19.51,2.26
Bulgaria,BGR,9/17/2021,,,,11.61,17.98,24.69,29.78,30.17,19.92,2.35
Bulgaria,BGR,9/24/2021,,,,12.17,18.58,25.31,30.31,30.66,20.25,2.47
Bulgaria,BGR,10-01-2021,,,,12.66,19.11,25.83,30.76,31.06,20.52,2.61
Bulgaria,BGR,10-08-2021,,,,13.1,19.55,26.27,31.17,31.45,20.8,2.71
Bulgaria,BGR,10/15/2021,,,,13.5,19.99,26.7,31.53,31.77,21.01,2.73
Bulgaria,BGR,10/22/2021,,,,14.8,21.22,27.76,32.23,32.18,21.25,2.73
Bulgaria,BGR,10/29/2021,,,,16.45,22.77,29.18,33.15,32.71,21.54,2.77
Bulgaria,BGR,11-05-2021,,,,17.65,23.93,30.21,33.88,33.2,21.8,2.86
Bulgaria,BGR,11-12-2021,,,,18.97,25.15,31.28,34.69,33.74,22.09,2.95
Bulgaria,BGR,11/19/2021,,,,20.61,26.58,32.6,35.71,34.41,22.46,3.03
Bulgaria,BGR,11/26/2021,,,,21.89,27.82,33.76,36.64,35.09,22.82,3.1
Bulgaria,BGR,12-03-2021,,,,22.85,28.73,34.63,37.39,35.71,23.18,3.11
Bulgaria,BGR,12-10-2021,,,,23.59,29.45,35.29,37.99,36.2,23.49,3.12
Bulgaria,BGR,12/17/2021,,,,24.25,30.09,35.88,38.51,36.67,23.78,3.14
Bulgaria,BGR,12/24/2021,,,,24.8,30.59,36.32,38.88,36.99,23.97,3.21
Bulgaria,BGR,12/31/2021,,,,25.14,30.92,36.61,39.11,37.21,24.13,3.27
Bulgaria,BGR,01-07-2022,,,,25.67,31.41,37.02,39.49,37.58,24.4,3.34
Bulgaria,BGR,1/14/2022,,,,26.08,31.77,37.33,39.76,37.84,24.59,3.4
Bulgaria,BGR,1/21/2022,,,,26.36,32.01,37.54,39.92,38.01,24.72,3.4
Bulgaria,BGR,1/28/2022,,,,26.66,32.24,37.77,40.2,38.37,25.02,3.4
Bulgaria,BGR,02-04-2022,,,,26.93,32.47,38.02,40.54,38.81,25.36,3.42
Bulgaria,BGR,02-11-2022,,,,27.19,32.67,38.22,40.8,39.16,25.64,3.46
Bulgaria,BGR,2/18/2022,,,,27.38,32.8,38.35,40.96,39.35,25.78,3.53
Bulgaria,BGR,2/25/2022,,,,27.53,32.91,38.44,41.08,39.48,25.89,3.62
Bulgaria,BGR,03-04-2022,,,,27.62,32.96,38.5,41.14,39.55,25.95,3.77
Bulgaria,BGR,03-11-2022,,,,27.71,33.02,38.56,41.19,39.62,26.01,3.81
Bulgaria,BGR,3/18/2022,,,,27.79,33.07,38.6,41.24,39.67,26.05,3.83
Bulgaria,BGR,3/25/2022,,,,27.83,33.1,38.63,41.27,39.7,26.08,3.92
Bulgaria,BGR,04-01-2022,,,,27.87,33.13,38.65,41.29,39.72,26.09,4.02
Bulgaria,BGR,04-08-2022,,,,27.91,33.15,38.67,41.31,39.74,26.12,4.15
Bulgaria,BGR,4/15/2022,,,,27.95,33.18,38.7,41.33,39.76,26.13,4.35
Bulgaria,BGR,4/22/2022,,,,27.98,33.19,38.71,41.34,39.77,26.14,4.56
Bulgaria,BGR,4/29/2022,,,,28.03,33.21,38.73,41.36,39.79,26.15,4.6
Bulgaria,BGR,05-06-2022,,,,28.06,33.23,38.74,41.37,39.8,26.15,4.6
Bulgaria,BGR,5/13/2022,,,,28.11,33.24,38.76,41.38,39.81,26.16,4.7
Bulgaria,BGR,5/20/2022,,,,28.14,33.26,38.76,41.39,39.82,26.17,4.84
Bulgaria,BGR,5/27/2022,,,,28.16,33.27,38.77,41.4,39.82,26.17,5.05
Bulgaria,BGR,06-03-2022,,,,28.19,33.28,38.78,41.41,39.83,26.17,5.41
Bulgaria,BGR,06-10-2022,,,,28.2,33.29,38.79,41.41,39.84,26.18,5.74
Bulgaria,BGR,6/17/2022,,,,28.21,33.3,38.8,41.42,39.84,26.18,5.81
Bulgaria,BGR,6/24/2022,,,,28.22,33.31,38.8,41.43,39.84,26.19,5.82
Bulgaria,BGR,07-01-2022,,,,28.23,33.32,38.81,41.43,39.85,26.19,5.95
Bulgaria,BGR,07-08-2022,,,,28.24,33.32,38.82,41.44,39.86,26.19,6.14
Bulgaria,BGR,7/15/2022,,,,28.27,33.34,38.83,41.45,39.86,26.2,6.38
Bulgaria,BGR,01-08-2021,,,,0,0,0,0,0,0,6.76
Bulgaria,BGR,1/15/2021,,,,0,0,0,0,0,0,7.03
Bulgaria,BGR,1/22/2021,,,,0.01,0.06,0.17,0.13,0.04,0.01,7.1
Bulgaria,BGR,1/29/2021,,,,0.04,0.17,0.44,0.39,0.12,0.04,7.1
Bulgaria,BGR,02-05-2021,,,,0.05,0.23,0.59,0.52,0.16,0.05,7.33
Bulgaria,BGR,02-12-2021,,,,0.06,0.28,0.69,0.62,0.19,0.06,7.7
Bulgaria,BGR,2/19/2021,,,,0.07,0.36,0.88,0.81,0.27,0.12,8.03
Bulgaria,BGR,2/26/2021,,,,0.09,0.49,1.21,1.1,0.39,0.28,8.54
Bulgaria,BGR,03-05-2021,,,,0.11,0.67,1.65,1.43,0.49,0.39,8.96
Bulgaria,BGR,03-12-2021,,,,0.14,0.79,1.92,1.64,0.57,0.45,9.14
Bulgaria,BGR,3/19/2021,,,,0.2,0.97,2.24,1.99,0.8,0.57,9.15
Bulgaria,BGR,3/26/2021,,,,0.29,1.2,2.65,2.47,1.13,0.69,9.39
Bulgaria,BGR,04-02-2021,,,,0.36,1.39,2.96,2.76,1.35,0.83,9.75
Bulgaria,BGR,04-09-2021,,,,0.43,1.6,3.28,3.04,1.52,0.94,10.2
Bulgaria,BGR,4/16/2021,,,,0.52,1.86,3.67,3.38,1.74,1.09,10.71
Bulgaria,BGR,4/23/2021,,,,0.71,2.41,4.47,4.19,2.42,1.51,11.14
Bulgaria,BGR,4/30/2021,,,,0.95,3.06,5.52,5.55,3.85,2.4,11.31
Bulgaria,BGR,05-07-2021,,,,1.29,3.85,6.93,7.71,6.26,3.83,11.32
Bulgaria,BGR,5/14/2021,,,,1.82,5.14,9.11,11.12,10.35,6.43,11.48
Bulgaria,BGR,5/21/2021,,,,2.35,6.18,10.68,13.42,13.09,8.16,11.71
Bulgaria,BGR,5/28/2021,,,,2.87,6.96,11.69,14.71,14.41,9.03,12.35
Bulgaria,BGR,06-04-2021,,,,3.49,7.96,13,16.6,16.6,10.45,13.01
Croatia,HRV,01-01-2021,,,,0,0,0,0,0,0,13.57
Croatia,HRV,01-08-2021,,,0,0,0,0,0,0,0,13.74
Croatia,HRV,1/15/2021,0,,0,0,0.01,0.01,0.01,0.02,0.1,13.74
Croatia,HRV,1/22/2021,0,0,0,0.05,0.22,0.33,0.23,0.44,1.8,13.84
Croatia,HRV,1/29/2021,0,0,0,0.14,0.62,0.92,0.63,0.83,2.94,14.17
Croatia,HRV,02-05-2021,0,0,0.01,0.24,1.03,1.57,1.08,1.26,3.83,14.5
Croatia,HRV,02-12-2021,0,0,0.02,0.34,1.44,2.2,1.56,1.75,4.7,15.46
Croatia,HRV,2/19/2021,0,0,0.02,0.37,1.56,2.4,1.73,1.98,5.06,16.49
Croatia,HRV,2/26/2021,0,0,0.02,0.39,1.61,2.47,1.81,2.1,5.21,17.05
Croatia,HRV,03-05-2021,0,0,0.02,0.42,1.7,2.62,1.96,2.29,5.53,17.08
Croatia,HRV,03-12-2021,0,0,0.03,0.49,1.91,2.96,2.31,2.85,6.74,17.42
Croatia,HRV,3/19/2021,0,0,0.04,0.56,2.11,3.29,2.81,3.88,8.46,17.98
Croatia,HRV,3/26/2021,0,0,0.04,0.59,2.21,3.48,3.15,4.58,9.56,18.63
Croatia,HRV,04-02-2021,0,0,0.04,0.63,2.33,3.7,3.59,5.74,11.25,19.37
Croatia,HRV,04-09-2021,0,0,0.04,0.68,2.46,3.93,4.13,7.23,12.86,20.03
Croatia,HRV,4/16/2021,0,0,0.06,0.76,2.7,4.47,5.54,10.81,16.51,20.48
Croatia,HRV,4/23/2021,0,0,0.07,0.84,2.94,5.02,7.13,14.09,19.01,20.54
Croatia,HRV,4/30/2021,0,0,0.09,0.96,3.24,5.73,9.16,17.87,21.84,21.03
Croatia,HRV,05-07-2021,0,0,0.1,1.24,3.78,6.93,12.27,23.63,26.63,21.43
Croatia,HRV,5/14/2021,0,0,0.11,1.42,4.35,8.27,15.84,29.58,31.9,22.19
Croatia,HRV,5/21/2021,0,0,0.13,1.71,5.08,9.91,19.56,35.19,36.9,22.97
Croatia,HRV,5/28/2021,0,0.01,0.15,2.15,6.29,12.59,24.87,41.73,40.37,23.53
Croatia,HRV,06-04-2021,0,0.01,0.18,2.86,7.63,15.26,29.29,46.28,42.57,23.92
Croatia,HRV,06-11-2021,0,0.01,0.25,4.23,11.18,21.22,36.69,52.25,45.26,23.97
Croatia,HRV,6/18/2021,0.01,0.02,0.38,6.09,15.86,28.64,44.22,57.51,47.76,24.46
Croatia,HRV,6/25/2021,0.01,0.02,0.58,8.19,19.79,34.07,49.24,60.76,49.4,24.79
Croatia,HRV,07-02-2021,0.01,0.03,0.86,10.86,24.13,39.64,54.17,63.96,50.93,25.48
Croatia,HRV,07-09-2021,0.01,0.07,1.31,13.72,27.46,43.45,57.82,66.12,52.02,26.24
Croatia,HRV,7/16/2021,0.01,0.13,1.75,15.75,29.8,45.77,59.65,67.29,52.71,26.76
Croatia,HRV,7/23/2021,0.01,0.2,2.54,18.11,32.1,48.21,61.63,68.58,53.44,27.1
Croatia,HRV,7/30/2021,0.01,0.28,3.09,19.79,33.79,50.19,63.23,69.59,54.05,27.14
Croatia,HRV,08-06-2021,0.01,0.32,3.46,20.86,34.86,51.39,64.17,70.2,54.45,27.71
Croatia,HRV,8/13/2021,0.01,0.38,3.92,22.02,35.92,52.45,64.97,70.75,54.79,28.29
Croatia,HRV,8/20/2021,0.01,0.43,4.35,23.15,36.91,53.41,65.67,71.22,55.13,29.02
Croatia,HRV,8/27/2021,0.01,0.49,4.78,24.25,37.89,54.26,66.32,71.67,55.43,29.79
Croatia,HRV,09-03-2021,0.01,0.52,5.12,25.1,38.65,54.95,66.83,72.02,55.68,30.66
Croatia,HRV,09-10-2021,0.01,0.56,5.37,25.82,39.33,55.52,67.25,72.32,55.9,31.36
Croatia,HRV,9/17/2021,0.01,0.6,5.66,26.62,40.06,56.17,67.74,72.65,56.14,31.43
